"Artist","Title","Version","Year","Duration","ISRC","Explicit","Release","Release Label","Release Date","Release Artist","UPC"
"Metallica","Master of Puppets","","2016","3:30","ITL771653322","","Milton Keynes Festival, June 5th, 1993 (Remastered, Live On Broadcasting)","Lilith Records","2016-08-16","Metallica","5056052783687"
"Metallica","Master of Puppets","","2016","7:24","ITL771548002","","The Market Square Arena, Indianapolis, November 24th, 1988 (Remastered) [Live on Fm Broadcasting)","Lilith Records","2016-01-25","Metallica","5055946786780"
"Metallica","Master Of Puppets","Live Lp Version","1988","","USEE10100349","","","","","",""
"Metallica","Master of Puppets","","","","USQY51298996","","","","","",""
"Metallica","Master of Puppets","Live At Long Beach Arena, Long Beach, Ca / December 7th, 1988","2018","7:28","QMKHM1700225","Explicit","","","","",""
"Metallica","Master Of Puppets","Jason's First Audition","2017","7:36","QMKHM1600310","","","","","",""
"Metallica","Master Of Puppets","Live At The Country Club, Reseda, Ca / November 8th, 1986","2017","7:51","QMKHM1600315","Explicit","","","","",""
"Metallica","Master Of Puppets","Liveversion ♦ Stereoversion","2020","7:54","QMKHM1900412","","","","","",""
"Metallica","Master Of Puppets","Liveversion ♦ Stereoversion","2020","8:07","QMKHM1900436","","","","","",""
"Metallica","Master Of Puppets","Live From Mexico City, August 2009","2009","8:13","GBUM70915560","","","","","",""
"Metallica","Master Of Puppets","Live At The Aragon Ballroom, Chicago, Il / May 25th, 1986","2017","8:18","QMKHM1600227","Explicit","","","","",""
"Metallica","Master Of Puppets","Late June 1985 Demo","2017","8:19","QMKHM1600435","","","","","",""
"Metallica","Master Of Puppets","Late June 1985 Demo","2017","8:21","QMKHM1700084","","","","","",""
"Metallica","Master Of Puppets","Live At The Meadowlands, East Rutherford, Nj / April 21st, 1986","2017","8:25","QMKHM1700095","Explicit","","","","",""
"Metallica","Master Of Puppets","Live/2012","2013","8:26","QMKHM1300010","","","","","",""
"Metallica","Master of Puppets","","2023","8:26","TCAHC2307710","","","","","",""
"Metallica","Master of Puppets","The Amsterdam Sessions / Amazon Music Presents","2023","8:31","QMKHM2300131","","","","","",""
"Metallica","Master Of Puppets","Stereoversion","1986","8:35","GBAMC8600001","","","","","",""
"Metallica","Master Of Puppets","Remastered 2016","2017","8:35","QMKHM1600219","","","","","",""
"Metallica","Master of Puppets","Live At The Stone Balloon, Newark, De / August 7th, 1989","2018","8:35","QMKHM1700355","","","","","",""
"Metallica","Master Of Puppets","Metallica - The Big Four: Live From Sonisphere","2010","8:37","GBUV71003574","Explicit","","","","",""
"Metallica","Master of Puppets","The Amsterdam Sessions / Amazon Music Presents","2023","8:39","QMKHM2300127","","","","","",""
"Metallica","Master Of Puppets","November 1985 / Work In Progress Rough Mix","2017","8:44","QMKHM1600449","","","","","",""
"Metallica","Master Of Puppets","Live From Mexico, August 2009, Surround Sound","2009","9:21","GBUV70906342","","","","","",""
"Metallica","Master Of Puppets","Mid-june 1985 / Writing In Progress 2","2017","12:08","QMKHM1600430","","","","","",""
"Metallica","Master of Puppets","Live At Arco Arena, Sacramento, Ca / January 11th, 1992","2021","4:05","QMKHM1900164","Explicit","","","","",""
"Metallica","Master of Puppets","Live At Gentofte Stadion, Copenhagen, Denmark / August 10th, 1991","2021","3:47","QMKHM2000132","","Metallica","EMI","","Metallica","602438525249"
"Metallica","Master of Puppets","Live At Gentofte Stadion, Copenhagen, Denmark / August 10th, 1991","2021","3:47","QMKHM2000132","","Metallica","EMI","","Metallica","602508507076"
"Metallica","Master Of Puppets","Live At Joe Louis Arena, Detroit, Mi / April 4th, 1986","2017","5:57","QMKHM1700037","Explicit","","","","",""
"Metallica","Master of Puppets","Live At Irvine Meadows Amphitheatre, Irvine, Ca / 4th August 1996","2025","6:43","QMKHM2400031","Explicit","","","","",""
"Metallica","Master Of Puppets","Live At Grugahalle, Essen, West Germany / January 25th, 1987","2017","4:46","QMKHM1600342","","","","","",""
"Metallica","Master Of Puppets","","2011","7:54","USUPV1100199","","Rock and Roll Hall of Fame Volume 10: 2008-2009","Time-Life Music ♦ WEA P&D","2011-11-15","Various Artists","610583435320"
"Metallica","Master of Puppets","Live At Barrowland, Glasgow, Scotland / 10th October 1996","2025","3:46","QMKHM2400228","Explicit","","","","",""
"Metallica","Master of Puppets","Live At Maimarktgelände, Mannheim, Germany / May 22nd, 1993","2021","4:23","QMKHM1900193","Explicit","","","","",""
"Metallica","Master Of Puppets","Live In Mexico City 1993","1993","4:35","GBAMC0300064","","","","","",""
"Metallica","Master Of Puppets","1985 / From James' Riff Tapes 2","2017","0:29","QMKHM1600412","","","","","",""
"Metallica","Master Of Puppets","1985 / From Kirk's Riff Tapes","2017","0:37","QMKHM1600410","","","","","",""
"Metallica","Master of Puppets","","","","USQY51291450","","Metallica - Live in Moscow - Volume 2","Rock Classics","2012-05-10","Metallica","887158105470"
"Metallica","Master Of Puppets","Live, Cape Girardeau, 5/24/1986","","","USWB10802859","","Arena Building, Cape Girardeau, MO 5/24/1986","Warner Bros. Label","","Metallica","093624984672"
"Metallica","Master Of Puppets","Live, Chattanooga, 7/29/1986","","","USWB10802870","","UTC Arena, Chattanooga, TN 7/29/1986","Warner Bros. Label","","Metallica","093624984665"
"Metallica","Master Of Puppets","Live, London, 9/21/1986","","","USWB10803163","","Hammersmith Odeon, London, UK 9/21/1986","Warner Bros. Inc.","","Metallica","093624984658"
"Metallica","Master Of Puppets","Live, Middletown, 6/17/1994","","","USWB10803176","","County Fairgrounds, Middletown, NY 6/17/1994","Warner Bros. Inc.","","Metallica","093624984603"
"Metallica","Master Of Puppets","Live, Nurnberg, Ger 5/21/1999","","","USWB10804880","","Frankenstadion, Nurnberg, GER 5/21/1999","Warner Bros. Inc.","","Metallica","093624984542"
"Metallica","Master Of Puppets","Live At Grimey's","","","USWB11002720","","Live At Grimey's","Warner Bros. Inc.","","Metallica","093624961000"
"Metallica","Master Of Puppets","Liveversion ♦ Stereoversion","2008","8:20","GBUM70818257","","All Nightmare Long","EMI","","Metallica","602517940116"
"Metallica","Master Of Puppets","Liveversion ♦ Stereoversion","2008","8:20","GBUM70818257","","All Nightmare Long","Blackened Recordings / Universal Music","","Metallica","602517942165"
"Metallica","Master Of Puppets","Liveversion ♦ Stereoversion","2008","8:20","GBUM70818257","","All Nightmare Long","Blackened Recordings / Universal Music","","Metallica","602517947856"
"Metallica","Master Of Puppets","","2013","8:25","GBUV71301461","","Master Of Puppets","Blackened Recordings / Universal Music","","Metallica","602537590902"
"Metallica","Master Of Puppets","","2013","8:25","GBUV71301461","","Metallica Through The Never","Universal Music Mexico","","Metallica","602537762743"
"Metallica","Master Of Puppets","","2013","8:25","GBUV71301461","","Metallica Through The Never","Universal Music Mexico","","Metallica","602537762781"
"Metallica","Master Of Puppets","","2013","8:25","GBUV71301461","","Metallica Through The Never","Universal Music Mexico","","Metallica","602537762798"
"Metallica","Master Of Puppets","","2013","8:25","GBUV71301461","","Metallica Through The Never","Universal Music Mexico","","Metallica","602537762804"
"Metallica","Master Of Puppets","","2013","8:25","GBUV71301461","","Metallica Through The Never","Universal Music Mexico","","Metallica","602537762842"
"Metallica","Master Of Puppets","","2013","8:25","GBUV71301461","","Metallica Through The Never","Universal Music Mexico","","Metallica","602537762873"
"Metallica","Master Of Puppets","Remastered 2016","2017","8:35","QMKHM2200005","","Master Of Puppets","Blackened Recordings / Universal Music","","Metallica","858978005790"
"Metallica","Master Of Puppets","Live At House Of Vans, London","2017","8:41","QMKHM1700030","","Live At House Of Vans, London, 18.11.16","Blackened Recordings / Universal Music","","Metallica","602567041672"
"Metallica","Master Of Puppets","Live","2016","3:19","ITL771648901","","Woodstock, Saugerties, New York, August 13th, 1994 (Remastered, Live On Broadcasting)","Lilith Records","2016-04-13","Metallica","5055946787428"
"Metallica","Master Of Puppets","","2021","3:19","USY252175830","","On The Farm","Wicker Man","2021-11-25","Metallica","760137846321"
"Metallica","Master Of Puppets Menu / Metallica / Master Of Puppets","","2017","1:00","QMKHM1700081","","","","","",""
"Metallica","Master Of Puppets Menu / Metallica / Master Of Puppets","","2017","1:00","QMKHM1700082","","","","","",""
"Metallica","About Master Of Puppets","","","","USDBY1900243","","Remaining Memories| The Interviews","Cobraside","","Metallica","760137751427"
"Metallica","Master of Puppets - Stereo","Stereo","2004","3:42","GBL280400206","","Cunning Stunts","Universal Music","","Metallica","602498233726"
"Metallica","Master of Puppets - Stereo","Stereo","2004","3:42","GBL280400206","","Cunning Stunts","Universal Music","","Metallica","602498233757"
"Metallica & San Francisco Symphony","Master Of Puppets","Live","2019","8:30","QMKHM1900347","","","","","",""
"Metallica & San Francisco Symphony","Master Of Puppets","Live","2019","15:14","QMKHM2000023","","S&M2","EMI","","Metallica & San Francisco Symphony","602507249465"
"Metallica & San Francisco Symphony","Master Of Puppets","Live","2019","15:14","QMKHM2000023","","S&M2","EMI","","Metallica & San Francisco Symphony","602507292270"
"Metallica & San Francisco Symphony","Master Of Puppets","Live","2019","15:14","QMKHM2000023","","S&M2","EMI","","Metallica & San Francisco Symphony","602507292409"
"Metallica & San Francisco Symphony","Master Of Puppets","Live","2019","15:14","QMKHM2000023","","S&M2","EMI","","Metallica & San Francisco Symphony","602507485955"
"Metallica & San Francisco Symphony","Master Of Puppets","Live","2019","15:14","QMKHM2000023","","S&M2","EMI","","Metallica & San Francisco Symphony","602508861390"
"Metallica & San Francisco Symphony","Master Of Puppets","Live","2019","15:14","QMKHM2000023","","S&M2","EMI","","Metallica & San Francisco Symphony","602508861512"
"Metallica","Master of Puppets - 5.1 Surround Sound","Surround Sound","2004","3:42","GBL280400207","","Cunning Stunts","Universal Music","","Metallica","602498233726"
"Metallica","Master of Puppets - 5.1 Surround Sound","Surround Sound","2004","3:42","GBL280400207","","Cunning Stunts","Universal Music","","Metallica","602498233757"
"In the Style of Metallica","Master Of Puppets","","","8:32","USK4W0019710","","Master Of Puppets","stingray karaoke/sound choice/the karaoke channel","2004-01-01","In the Style of Metallica","6621450635663"
"In the Style of Metallica","Master Of Puppets","","","8:32","USK4W0710679","","Master Of Puppets","stingray karaoke/sound choice/the karaoke channel","2004-01-01","In the Style of Metallica","6621450635663"
"In the Style of Metallica","Master Of Puppets","","","8:32","USK4W0722441","","Master Of Puppets","stingray karaoke/sound choice/the karaoke channel","2004-01-01","In the Style of Metallica","6621450635663"
"Metallica, Michael Kamen & San Francisco Symphony","Master Of Puppets","Live","1999","8:54","GBAMC9900006","Explicit","","","","",""
"The Blackest Album (An Industrial Tribute To Metallica)","Master Of Puppets","","1998","0:00","X60000098802","","The Blackest Album (An Industrial Tribute To Metallica)","WM Australia","2000-01-10","The Blackest Album (An Industrial Tribute To Metallica)","685738059720"
